,MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK,DISTANCE_GROUP,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND
count,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0,6489062.0
mean,6.607061544488248,3.9355983961934715,0.18914413207949007,8.197697294308483,3.8211020329286423,3.0468896737309645,27.836752368832354,133.73973911791873,9.119910705121942,12684.58072907918,62960.5759894111,3459.251435723684,1588638.5315082518,7814970.00124132,9.753707326067603e-05,0.00013556120314216186,11.532107876300149,42.822000776075186,36.7058095268623,-94.2551471163322,186.1397887707037,0.10370629992439594,0.03159310236209794,0.09152396756264625,71.46846152802979,8.34132860958949
std,3.396852968808095,1.9952004111614303,0.3916231007158999,4.886606966007382,2.3822326990242058,1.7578639715865045,21.5105987444859,46.452125879738325,5.142575712683637,8839.795887006718,34382.22900972629,4251.139427382541,1123847.2509635102,5046881.549356411,8.644459082120525e-05,4.6499703085849526e-05,6.9357064722009625,27.283439840046967,5.5008039246615175,17.909519329247118,86.63546516473922,0.3432133523952254,0.3170163191807052,0.7281285048648914,18.353327652218955,3.607604241382407
min,1.0,1.0,0.0,0.0,1.0,1.0,1.0,44.0,0.0,1100.0,5582.0,1.0,70476.0,473794.0,0.0,7.134694872433899e-06,0.0,0.0,18.44,-159.346,0.0,0.0,0.0,0.0,-10.0,0.0
25%,4.0,2.0,0.0,4.0,2.0,2.0,11.0,90.0,5.0,5345.0,25034.0,654.0,673221.0,2688839.0,3.419267401443636e-05,9.88941230999822e-05,5.0,17.0,33.436,-106.377,123.0,0.0,0.0,0.0,59.0,5.82
50%,7.0,4.0,0.0,8.0,3.0,3.0,23.0,143.0,10.0,11562.0,70878.0,2251.0,1486066.0,8501631.0,6.178236301460919e-05,0.0001246510730715,12.0,42.0,37.505,-87.906,216.0,0.0,0.0,0.0,74.0,7.83
75%,10.0,6.0,0.0,12.0,5.0,4.0,39.0,172.0,14.0,17615.0,86312.0,4806.0,2006675.0,12460183.0,0.0001441658849878,0.000177287219593,17.0,65.0,40.779,-80.936,242.0,0.02,0.0,0.0,86.0,10.29
max,12.0,7.0,1.0,18.0,11.0,15.0,109.0,337.0,16.0,35256.0,117728.0,21837.0,4365661.0,13382999.0,0.000348407665605,0.0002289854734932,32.0,95.0,61.169,-66.002,355.0,11.63,17.2,25.2,115.0,33.78
